Chrom	Start	End	Value
chr3	143016199	148516822	17.43
chr3	148516822	154017446	16.92
chr3	154017446	159518069	16.29
chr3	159518069	165018692	13.63
chr3	165018692	170519315	12.93
chr3	170519315	176019938	11.91
chr3	176019938	181520561	12.44
chr3	181520561	187021184	11.09
chr3	187021184	192521807	11.05
chr3	192521807	198022430	9.36
chr4	0	5309841	8.13
chr4	5309841	10619682	14.12
chr4	10619682	15929523	19.76
chr4	15929523	21239364	25.06
chr4	21239364	26549205	31.36
chr4	26549205	31859046	34.44
chr4	31859046	37168887	40
chr4	37168887	42478728	42.59
chr4	42478728	47788569	43.45
chr4	47788569	53098410	45.33
chr4	53098410	58408251	43.4
chr4	58408251	63718092	43.61
chr4	63718092	69027933	41.85
chr4	69027933	74337774	39.85
chr4	74337774	79647615	39.04
chr4	79647615	84957456	38.67
chr4	84957456	90267297	35.34
chr4	90267297	95577138	32.77
chr4	95577138	100886979	29.03
chr4	100886979	106196820	28.48
chr4	106196820	111506661	25.18
chr4	111506661	116816502	25.12
chr4	116816502	122126343	24.61
chr4	122126343	127436184	21.52
chr4	127436184	132746025	18.91
chr4	132746025	138055866	17.89
chr4	138055866	143365707	16.01
chr4	143365707	148675548	17.61
chr4	148675548	153985389	16.41
chr4	153985389	159295230	15.55
chr4	159295230	164605071	15.39
chr4	164605071	169914912	11.87
chr4	169914912	175224753	13.49
chr4	175224753	180534594	13.44
chr4	180534594	185844435	11.11
chr4	185844435	191154276	8.07
chr5	0	5025424	8.06
chr5	5025424	10050848	13.11
chr5	10050848	15076272	20.37
chr5	15076272	20101696	26.37
chr5	20101696	25127119	30.1
chr5	25127119	30152543	34.98
chr5	30152543	35177967	38.97
chr5	35177967	40203391	41.03
chr5	40203391	45228815	43.43
chr5	45228815	50254239	44.38
chr5	50254239	55279663	44.08
chr5	55279663	60305087	44.09
chr5	60305087	65330511	43.35
chr5	65330511	70355934	40.68
chr5	70355934	75381358	39.87
chr5	75381358	80406782	38.59
chr5	80406782	85432206	35.21
chr5	85432206	90457630	33.12
chr5	90457630	95483054	29.28
chr5	95483054	100508478	27.47
chr5	100508478	105533902	27.52
chr5	105533902	110559326	24.62
chr5	110559326	115584749	22.52
chr5	115584749	120610173	22.12
chr5	120610173	125635597	19.8
chr5	125635597	130661021	19.56
chr5	130661021	135686445	16.99
chr5	135686445	140711869	17.19
chr5	140711869	145737293	15.77
chr5	145737293	150762717	15.94
chr5	150762717	155788141	14.03
chr5	155788141	160813564	13.72
chr5	160813564	165838988	13.03
chr5	165838988	170864412	12.24
chr5	170864412	175889836	9.73
chr5	175889836	180915260	10.46
