chr	start	end	value	track	type
chr6	38000000	40000000	17.77	density	histogram
chr6	40000000	42000000	17.21	density	histogram
chr7	0	2000000	13.82	density	histogram
chr7	2000000	4000000	9.60	density	histogram
chr7	4000000	6000000	8.78	density	histogram
chr7	6000000	8000000	13.41	density	histogram
chr7	8000000	10000000	18.14	density	histogram
chr7	10000000	12000000	19.69	density	histogram
chr7	12000000	14000000	27.49	density	histogram
chr7	14000000	16000000	25.24	density	histogram
chr7	16000000	18000000	11.62	density	histogram
chr7	18000000	20000000	16.19	density	histogram
chr7	20000000	22000000	16.83	density	histogram
chr7	22000000	24000000	28.74	density	histogram
chr7	24000000	26000000	14.61	density	histogram
chr7	26000000	28000000	10.27	density	histogram
chr7	28000000	30000000	8.48	density	histogram
chr7	30000000	32000000	14.87	density	histogram
chr7	32000000	34000000	18.97	density	histogram
chr7	34000000	36000000	19.22	density	histogram
chr8	0	2000000	11.01	density	histogram
chr8	2000000	4000000	16.70	density	histogram
chr8	4000000	6000000	19.20	density	histogram
chr8	6000000	8000000	14.43	density	histogram
chr8	8000000	10000000	11.73	density	histogram
chr8	10000000	12000000	24.73	density	histogram
chr8	12000000	14000000	17.22	density	histogram
chr8	14000000	16000000	19.00	density	histogram
chr8	16000000	18000000	16.00	density	histogram
chr8	18000000	20000000	21.80	density	histogram
chr8	20000000	22000000	12.25	density	histogram
chr8	22000000	24000000	15.42	density	histogram
chr8	24000000	26000000	19.20	density	histogram
chr8	26000000	28000000	17.98	density	histogram
chr8	28000000	30000000	10.67	density	histogram
chr1	0	1500000	-0.355	cnv	scatter
chr1	1500000	3000000	0.253	cnv	scatter
chr1	3000000	4500000	-0.017	cnv	scatter
chr1	4500000	6000000	-0.109	cnv	scatter
chr1	6000000	7500000	0.072	cnv	scatter
chr1	7500000	9000000	0.074	cnv	scatter
chr1	9000000	10500000	0.270	cnv	scatter
chr1	10500000	12000000	-0.184	cnv	scatter
chr1	12000000	13500000	0.205	cnv	scatter
chr1	13500000	15000000	0.268	cnv	scatter
chr1	15000000	16500000	0.261	cnv	scatter
chr1	16500000	18000000	-0.033	cnv	scatter
chr1	18000000	19500000	0.792	cnv	scatter
chr1	19500000	21000000	0.710	cnv	scatter
chr1	21000000	22500000	1.069	cnv	scatter
chr1	22500000	24000000	1.354	cnv	scatter
chr1	24000000	25500000	-0.334	cnv	scatter
chr1	25500000	27000000	0.147	cnv	scatter
chr1	27000000	28500000	0.057	cnv	scatter
chr1	28500000	30000000	-0.110	cnv	scatter
chr1	30000000	31500000	-0.002	cnv	scatter
chr1	31500000	33000000	0.150	cnv	scatter
chr1	33000000	34500000	0.014	cnv	scatter
chr1	34500000	36000000	0.239	cnv	scatter
chr1	36000000	37500000	-0.011	cnv	scatter
chr1	37500000	39000000	0.187	cnv	scatter
chr1	39000000	40500000	0.268	cnv	scatter
chr1	40500000	42000000	0.290	cnv	scatter
chr1	42000000	43500000	-0.121	cnv	scatter
chr1	43500000	45000000	-0.892	cnv	scatter
chr1	45000000	46500000	-0.658	cnv	scatter
chr1	46500000	48000000	-0.949	cnv	scatter
chr1	48000000	49500000	-1.287	cnv	scatter
chr1	49500000	51000000	-0.044	cnv	scatter
chr1	51000000	52500000	-0.106	cnv	scatter
chr1	52500000	54000000	0.042	cnv	scatter
chr1	54000000	55500000	0.322	cnv	scatter
chr1	55500000	57000000	0.008	cnv	scatter
chr1	57000000	58500000	0.096	cnv	scatter
chr1	58500000	60000000	0.180	cnv	scatter
chr1	60000000	61500000	-0.036	cnv	scatter
chr1	61500000	63000000	-0.227	cnv	scatter
chr1	63000000	64500000	-0.100	cnv	scatter
chr1	64500000	66000000	0.193	cnv	scatter
chr1	66000000	67500000	-0.296	cnv	scatter
chr1	67500000	69000000	-0.108	cnv	scatter
chr1	69000000	70500000	0.181	cnv	scatter
chr1	70500000	72000000	0.143	cnv	scatter
chr1	72000000	73500000	0.001	cnv	scatter
chr1	73500000	75000000	0.145	cnv	scatter
chr1	75000000	76500000	0.030	cnv	scatter
chr1	76500000	78000000	-0.212	cnv	scatter
chr1	78000000	79500000	-0.282	cnv	scatter
chr1	79500000	80000000	-0.115	cnv	scatter
chr2	0	1500000	0.166	cnv	scatter
chr2	1500000	3000000	-0.102	cnv	scatter
chr2	3000000	4500000	-0.162	cnv	scatter
chr2	4500000	6000000	-0.139	cnv	scatter
chr2	6000000	7500000	-0.276	cnv	scatter
chr2	7500000	9000000	-0.021	cnv	scatter
chr2	9000000	10500000	-0.212	cnv	scatter
chr2	10500000	12000000	0.066	cnv	scatter
chr2	12000000	13500000	-0.425	cnv	scatter
chr2	13500000	15000000	0.059	cnv	scatter
chr2	15000000	16500000	1.360	cnv	scatter
chr2	16500000	18000000	0.882	cnv	scatter
chr2	18000000	19500000	1.288	cnv	scatter
chr2	19500000	21000000	0.796	cnv	scatter
chr2	21000000	22500000	0.140	cnv	scatter
chr2	22500000	24000000	0.135	cnv	scatter
chr2	24000000	25500000	0.120	cnv	scatter
chr2	25500000	27000000	0.059	cnv	scatter
chr2	27000000	28500000	0.240	cnv	scatter
chr2	28500000	30000000	0.119	cnv	scatter
chr2	30000000	31500000	0.081	cnv	scatter
chr2	31500000	33000000	-0.375	cnv	scatter
chr2	33000000	34500000	0.161	cnv	scatter
chr2	34500000	36000000	0.236	cnv	scatter
chr2	36000000	37500000	-0.053	cnv	scatter
chr2	37500000	39000000	-0.085	cnv	scatter
chr2	39000000	40500000	-1.146	cnv	scatter
chr2	40500000	42000000	-0.633	cnv	scatter
chr2	42000000	43500000	-0.607	cnv	scatter
chr2	43500000	45000000	0.124	cnv	scatter
chr2	45000000	46500000	0.053	cnv	scatter
chr2	46500000	48000000	-0.093	cnv	scatter
chr2	48000000	49500000	-0.197	cnv	scatter
chr2	49500000	51000000	0.090	cnv	scatter
chr2	51000000	52500000	-0.063	cnv	scatter
chr2	52500000	54000000	0.101	cnv	scatter
chr2	54000000	55500000	-0.120	cnv	scatter
chr2	55500000	57000000	0.262	cnv	scatter
chr2	57000000	58500000	0.227	cnv	scatter
chr2	58500000	60000000	0.028	cnv	scatter
chr2	60000000	61500000	-0.032	cnv	scatter
chr2	61500000	63000000	0.013	cnv	scatter
chr2	63000000	64500000	-0.123	cnv	scatter
chr2	64500000	66000000	0.219	cnv	scatter
chr2	66000000	67500000	-0.065	cnv	scatter
chr2	67500000	69000000	-0.005	cnv	scatter
chr2	69000000	70000000	0.316	cnv	scatter
chr3	0	1500000	-0.030	cnv	scatter
chr3	1500000	3000000	0.083	cnv	scatter
chr3	3000000	4500000	-0.015	cnv	scatter
chr3	4500000	6000000	-0.005	cnv	scatter
chr3	6000000	7500000	0.051	cnv	scatter
chr3	7500000	9000000	0.026	cnv	scatter
chr3	9000000	10500000	-0.141	cnv	scatter
chr3	10500000	12000000	0.129	cnv	scatter
chr3	12000000	13500000	0.137	cnv	scatter
chr3	13500000	15000000	0.881	cnv	scatter
chr3	15000000	16500000	0.805	cnv	scatter
chr3	16500000	18000000	1.190	cnv	scatter
chr3	18000000	19500000	-0.114	cnv	scatter
chr3	19500000	21000000	0.052	cnv	scatter
chr3	21000000	22500000	0.033	cnv	scatter
chr3	22500000	24000000	-0.072	cnv	scatter
chr3	24000000	25500000	-0.175	cnv	scatter
chr3	25500000	27000000	0.382	cnv	scatter
chr3	27000000	28500000	0.187	cnv	scatter
chr3	28500000	30000000	-0.215	cnv	scatter
chr3	30000000	31500000	-0.242	cnv	scatter
chr3	31500000	33000000	0.307	cnv	scatter
chr3	33000000	34500000	0.178	cnv	scatter
chr3	34500000	36000000	-0.982	cnv	scatter
chr3	36000000	37500000	-1.063	cnv	scatter
chr3	37500000	39000000	-1.112	cnv	scatter
chr3	39000000	40500000	-0.135	cnv	scatter
chr3	40500000	42000000	0.152	cnv	scatter
chr3	42000000	43500000	0.160	cnv	scatter
chr3	43500000	45000000	0.006	cnv	scatter
chr3	45000000	46500000	0.086	cnv	scatter
chr3	46500000	48000000	0.031	cnv	scatter
chr3	48000000	49500000	0.049	cnv	scatter
chr3	49500000	51000000	0.046	cnv	scatter
chr3	51000000	52500000	0.149	cnv	scatter
chr3	52500000	54000000	-0.103	cnv	scatter
chr3	54000000	55500000	0.286	cnv	scatter
chr3	55500000	57000000	-0.053	cnv	scatter
chr3	57000000	58500000	0.205	cnv	scatter
chr3	58500000	60000000	0.073	cnv	scatter
chr3	60000000	61500000	0.149	cnv	scatter
chr3	61500000	62000000	0.136	cnv	scatter
chr4	0	1500000	0.016	cnv	scatter
chr4	1500000	3000000	0.291	cnv	scatter
chr4	3000000	4500000	0.028	cnv	scatter
chr4	4500000	6000000	-0.111	cnv	scatter
chr4	6000000	7500000	-0.037	cnv	scatter
chr4	7500000	9000000	-0.415	cnv	scatter
chr4	9000000	10500000	0.066	cnv	scatter
chr4	10500000	12000000	0.261	cnv	scatter
chr4	12000000	13500000	1.003	cnv	scatter
chr4	13500000	15000000	0.975	cnv	scatter
chr4	15000000	16500000	1.055	cnv	scatter
chr4	16500000	18000000	-0.195	cnv	scatter
chr4	18000000	19500000	-0.473	cnv	scatter
chr4	19500000	21000000	-0.187	cnv	scatter
chr4	21000000	22500000	0.284	cnv	scatter
chr4	22500000	24000000	-0.069	cnv	scatter
chr4	24000000	25500000	-0.246	cnv	scatter
chr4	25500000	27000000	-0.137	cnv	scatter
chr4	27000000	28500000	0.094	cnv	scatter
chr4	28500000	30000000	0.089	cnv	scatter
chr4	30000000	31500000	-1.250	cnv	scatter
chr4	31500000	33000000	-1.186	cnv	scatter
chr4	33000000	34500000	-1.241	cnv	scatter
chr4	34500000	36000000	0.197	cnv	scatter
chr4	36000000	37500000	-0.306	cnv	scatter
chr4	37500000	39000000	-0.070	cnv	scatter
chr4	39000000	40500000	-0.129	cnv	scatter
chr4	40500000	42000000	0.007	cnv	scatter
chr4	42000000	43500000	0.150	cnv	scatter
chr4	43500000	45000000	-0.102	cnv	scatter
chr4	45000000	46500000	0.027	cnv	scatter
chr4	46500000	48000000	-0.133	cnv	scatter
chr4	48000000	49500000	0.047	cnv	scatter
chr4	49500000	51000000	0.469	cnv	scatter
chr4	51000000	52500000	-0.115	cnv	scatter
chr4	52500000	54000000	-0.129	cnv	scatter
chr4	54000000	55000000	-0.039	cnv	scatter
chr5	0	1500000	0.151	cnv	scatter
chr5	1500000	3000000	-0.033	cnv	scatter
chr5	3000000	4500000	-0.005	cnv	scatter
chr5	4500000	6000000	0.007	cnv	scatter
chr5	6000000	7500000	-0.150	cnv	scatter
chr5	7500000	9000000	0.138	cnv	scatter
chr5	9000000	10500000	-0.121	cnv	scatter
chr5	10500000	12000000	1.053	cnv	scatter
chr5	12000000	13500000	0.763	cnv	scatter
chr5	13500000	15000000	0.980	cnv	scatter
chr5	15000000	16500000	0.037	cnv	scatter
chr5	16500000	18000000	0.010	cnv	scatter
chr5	18000000	19500000	-0.044	cnv	scatter
chr5	19500000	21000000	0.124	cnv	scatter
chr5	21000000	22500000	-0.190	cnv	scatter
chr5	22500000	24000000	-0.113	cnv	scatter
chr5	24000000	25500000	0.001	cnv	scatter
chr5	25500000	27000000	-0.264	cnv	scatter
chr5	27000000	28500000	-1.027	cnv	scatter
chr5	28500000	30000000	-1.072	cnv	scatter
chr5	30000000	31500000	0.102	cnv	scatter
chr5	31500000	33000000	-0.010	cnv	scatter
chr5	33000000	34500000	-0.042	cnv	scatter
chr5	34500000	36000000	-0.255	cnv	scatter
chr5	36000000	37500000	0.329	cnv	scatter
chr5	37500000	39000000	0.093	cnv	scatter
chr5	39000000	40500000	0.197	cnv	scatter
chr5	40500000	42000000	-0.159	cnv	scatter
chr5	42000000	43500000	-0.033	cnv	scatter
chr5	43500000	45000000	-0.328	cnv	scatter
chr5	45000000	46500000	0.140	cnv	scatter
chr5	46500000	48000000	0.168	cnv	scatter
chr6	0	1500000	-0.342	cnv	scatter
chr6	1500000	3000000	-0.009	cnv	scatter
chr6	3000000	4500000	0.113	cnv	scatter
chr6	4500000	6000000	-0.317	cnv	scatter
chr6	6000000	7500000	-0.329	cnv	scatter
chr6	7500000	9000000	-0.192	cnv	scatter
chr6	9000000	10500000	0.861	cnv	scatter
chr6	10500000	12000000	0.722	cnv	scatter
chr6	12000000	13500000	0.114	cnv	scatter
chr6	13500000	15000000	0.126	cnv	scatter
chr6	15000000	16500000	0.270	cnv	scatter
chr6	16500000	18000000	0.210	cnv	scatter
chr6	18000000	19500000	-0.236	cnv	scatter
chr6	19500000	21000000	-0.091	cnv	scatter
chr6	21000000	22500000	-0.191	cnv	scatter
chr6	22500000	24000000	-0.957	cnv	scatter
chr6	24000000	25500000	-0.776	cnv	scatter
chr6	25500000	27000000	0.007	cnv	scatter
chr6	27000000	28500000	-0.223	cnv	scatter
chr6	28500000	30000000	-0.004	cnv	scatter
chr6	30000000	31500000	-0.036	cnv	scatter
chr6	31500000	33000000	-0.056	cnv	scatter
chr6	33000000	34500000	-0.011	cnv	scatter
chr6	34500000	36000000	-0.137	cnv	scatter
chr6	36000000	37500000	0.126	cnv	scatter
chr6	37500000	39000000	0.064	cnv	scatter
chr6	39000000	40500000	-0.016	cnv	scatter
chr6	40500000	42000000	-0.121	cnv	scatter
chr7	0	1500000	-0.031	cnv	scatter
chr7	1500000	3000000	-0.490	cnv	scatter
chr7	3000000	4500000	-0.177	cnv	scatter
chr7	4500000	6000000	0.007	cnv	scatter
chr7	6000000	7500000	-0.271	cnv	scatter
chr7	7500000	9000000	1.237	cnv	scatter
chr7	9000000	10500000	0.754	cnv	scatter
chr7	10500000	12000000	-0.173	cnv	scatter
chr7	12000000	13500000	0.083	cnv	scatter
chr7	13500000	15000000	0.110	cnv	scatter
chr7	15000000	16500000	-0.007	cnv	scatter
chr7	16500000	18000000	-0.153	cnv	scatter
chr7	18000000	19500000	-0.026	cnv	scatter
chr7	19500000	21000000	-1.258	cnv	scatter
chr7	21000000	22500000	-0.815	cnv	scatter
chr7	22500000	24000000	0.267	cnv	scatter
chr7	24000000	25500000	-0.067	cnv	scatter
chr7	25500000	27000000	-0.133	cnv	scatter
chr7	27000000	28500000	-0.200	cnv	scatter
chr7	28500000	30000000	-0.021	cnv	scatter
chr7	30000000	31500000	-0.088	cnv	scatter
chr7	31500000	33000000	0.019	cnv	scatter
chr7	33000000	34500000	0.094	cnv	scatter
chr7	34500000	36000000	-0.074	cnv	scatter
chr8	0	1500000	0.418	cnv	scatter
chr8	1500000	3000000	-0.058	cnv	scatter
chr8	3000000	4500000	0.198	cnv	scatter
chr8	4500000	6000000	0.022	cnv	scatter
chr8	6000000	7500000	1.015	cnv	scatter
chr8	7500000	9000000	0.888	cnv	scatter
chr8	9000000	10500000	0.108	cnv	scatter
chr8	10500000	12000000	0.421	cnv	scatter
chr8	12000000	13500000	0.058	cnv	scatter
chr8	13500000	15000000	0.230	cnv	scatter
chr8	15000000	16500000	0.138	cnv	scatter
chr8	16500000	18000000	-0.633	cnv	scatter
chr8	18000000	19500000	0.224	cnv	scatter
chr8	19500000	21000000	0.247	cnv	scatter
chr8	21000000	22500000	-0.375	cnv	scatter
chr8	22500000	24000000	-0.021	cnv	scatter
chr8	24000000	25500000	-0.038	cnv	scatter
chr8	25500000	27000000	-0.125	cnv	scatter
chr8	27000000	28500000	0.166	cnv	scatter
chr8	28500000	30000000	-0.124	cnv	scatter
